Floor_Num,Total_Floor_Area,Column_Area,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
3.5,143,0.52,0.66,0,1
3,228,0.73,0.05,0,4
3.5,182,0.47,0.89,0,3
4,291,0.77,1.65,0,4
2.5,159,0.47,0.71,0,3
3,307,0.63,3.3,0,4
4.5,253,0.63,0,0,4
4,261,0.63,0,0,4
4.5,533,1.58,1.94,0,4
5.5,908,1.49,0,1,4
4,333,1.3,1.2,1,1
4,593,1.67,4.62,1,4
2.5,261,1.52,0.3,1,1
4,604,1.46,5.64,1,4
3.5,576,1.15,3.53,1,1
4,520,1.24,0.34,0,4
3.5,152,0.76,0,0,3
5.5,388,0.93,0,0,1
3.5,158,1.08,1.33,0,1
3.5,929,2.6,0,1,4
2.5,170,0.65,0.63,0,1
3.5,291,0.84,0,0,4
2.5,217,0.84,0,0,1
3.5,241,0.73,0,0,3
4.5,372,1.11,0.62,0,1
3.5,285,1.3,0,0,4
3.5,396,0.52,0,0,3
3.5,476,0.84,1.37,0,1
3,330,0.73,0.78,0,1
4,384,0.73,0,0,4
2.5,237,0.72,0,0,4
1.5,100,0.84,2.32,0,1
2,182,0.81,2.27,0,1
2.5,196,0.49,0.4,0,4
4,234,0.77,1.89,0,4
2,139,1.18,2.28,0,1
2,98,0.84,0.95,0,1
4,202,0.79,2.69,0,3
3,229,0.91,1.45,1,4
4,665,1.86,2.96,1,4
4,204,0.47,1.25,0,3
2,98,0.63,0,0,1
4,421,1.56,0,0,4
4.5,432,0.98,1.71,0,2
3.5,179,0.7,0,1,4
3,189,0.84,0.34,0,2
3.5,243,0.93,0,0,1
4.5,278,0.52,2.01,0,1
3.5,174,0.47,0,0,4
2.5,170,0.84,1.64,0,1
2,163,1.22,1.38,0,1
3.5,229,0.98,0,0,1
3.5,242,0.95,0,0,4
6.5,471,0.63,1.73,0,1
6,1460,3.07,1.73,0,2
5,1757,3.25,1.73,0,2
6,983,1.67,1.11,1,1
6,1460,3.07,1.73,1,1
7,2114,3.81,1.73,1,2
7,1778,3.07,0.91,1,4
5.5,820,1.86,1.67,1,2
5,1217,3.07,1.73,0,1
5,615,1.67,1.11,0,2
